,author,content,description,publishedAt,title,url
35,James Tapsfield,"Nicola Sturgeon faced fury today as the SNP renewed its push for a Scottish independence referendum this year despite the coronavirus chaos and her public war with Alex Salmond. 
The First Minister … [+3759 chars]",Nicola Sturgeon was lambasted by opposition parties after senior allies insisted they are still aiming to hold another vote within months.,2021-03-05T15:02:08Z,Nicola Sturgeon faces fury over push for Scottish independence referendum THIS YEAR,https://www.dailymail.co.uk/news/article-9330491/Nicola-Sturgeon-faces-fury-push-Scottish-independence-referendum-YEAR.html
36,Kate Devlin,"A recent fall in support for Scottish independence could be the result of a vaccine bounce for the UK government, new analysis suggests.
Support for Scotland to leave the UK was high at the end of l… [+13977 chars]",Could ‘tip the balance’ for some voters,2021-03-20T13:00:00Z,"Fall in support for Scottish independence could be result of ‘vaccine bounce’, analysis suggests",https://www.independent.co.uk/news/uk/politics/scottish-independence-snp-covid-vaccine-boris-johnson-b1819771.html
37,Rory Sullivan,"Today's daily politics briefing
Boris Johnson misled parliament over the publication of coronavirus contracts, a court order suggests.
The prime minister had claimed that the contracts, which are s… [+6794 chars]",Follow live updates below,2021-03-05T14:58:38Z,Boris Johnson news — live: PM ‘misled parliament’ over Covid contracts as strike fund launched over 1% NHS pay rise,https://www.independent.co.uk/news/uk/politics/boris-johnson-news-live-today-brexit-nhs-latest-b1813066.html
38,Cat Neilan,"The UK's roadmap out of lockdown has not been thrown off course by the EU's plan to restrict vaccine supplies to countries that are in a better ""epidemiological situation"", Number 10 has said.
This … [+53877 chars]",EU could cut jab exports to countries with high vaccination rates Italian authorities raid vaccine factory amid false fears AstraZeneca doses being hidden...,2021-03-23T20:51:35Z,"Politics latest news: Roadmap out of lockdown unchanged by EU export ban, says No 10",https://news.yahoo.com/news-covid-vaccine-boris-johnson-205135699.html
39,Adam Forrest,"A significant number of Scots have turned against the SNPs plan another referendum on Scottish independence in the near future, a new poll indicates.
The latest YouGov survey shows 50 per cent of vo… [+2826 chars]",Separate survey finds SNP no longer on course to win majority at May’s Holyrood elections,2021-03-11T12:49:10Z,"Scots turning against SNP plan for independence referendum, poll finds",https://www.independent.co.uk/news/uk/politics/scottish-independence-poll-referendum-snp-b1815750.html
40,Jack Elsom,"Nicola Sturgeon was ridiculed by sceptical MSPs this afternoon as she claimed she 'didn't remember' a key meeting about sexual assault allegations against her predecessor and mentor Alex Salmond. 
M… [+58873 chars]","The First Minister has maintained the first time she learned of accusations against her predecessor was on April 2, 2018, during a conversation with him in the dining room of her home.",2021-03-03T16:35:14Z,Nicola Sturgeon is ridiculed for her 'forgetfulness' as she offers a 'hard to believe' excuse,https://www.dailymail.co.uk/news/article-9321917/Nicola-Sturgeon-ridiculed-forgetfulness-offers-hard-believe-excuse.html
41,"Jack Elsom, Michael Blackley",Nicola Sturgeon's career remains on the line today after she failed to answer a series of critical questions over her handling of complaints against Alex Salmond at a mammoth eight-hour grilling in t… [+60333 chars],Nicola Sturgeon's career remains on the line today after she failed to answer a series of critical questions over her handling of complaints against Alex Salmond.,2021-03-04T07:44:36Z,Nicola Sturgeon's 'litany of lies' is 'too much for her to survive',https://www.dailymail.co.uk/news/article-9324667/Nicola-Sturgeons-litany-lies-survive.html
42,Joanna Taylor,"Scots could vote on independence this year with the help of new SNP legislation, Ian Blackford has said. 
The Westminster leader claimed that a referendum could take place as early as late 2021 if h… [+2222 chars]","New bill could trigger second independence referendum later this year, Ian Blackford said",2021-03-05T11:20:38Z,"Referendum bill could see Scots vote on independence this year, SNP say",https://www.independent.co.uk/news/uk/politics/scottish-independence-referendum-snp-b1812846.html
43,Adam Forrest,"Alex Salmond has rocked Scottish politics by launching his own pro-independence political party to field candidates at the upcoming Holyrood elections.
In a stunning development, the former first mi… [+4382 chars]",Former first minister wants to boost chances of pro-breakaway parliament in Edinburgh,2021-03-26T16:38:31Z,Alba Party: Can Alex Salmond create a ‘super majority’ for Scottish independence?,https://www.independent.co.uk/news/uk/politics/salmond-alba-party-scottish-independence-b1823000.html
44,Cat Neilan,"The state aid was granted before Brexit, meaning it is subject to the EU's rules - Bloomberg
The European Union is taking the UK to court over the failure to recover illegal state aid worth around £… [+35016 chars]",Leaked Nicola Sturgeon report: 'Hard to believe' she did not know ‘One-stop shop’ to cut multiple appeals by failed asylum seekers PM: 'The jab is safe. The ...,2021-03-19T00:08:08Z,Politics latest news: EU launches legal challenge against UK over 'unlawful' Gibraltar state aid,https://news.yahoo.com/nicola-sturgeon-holyrood-boris-johnson-000808740.html
45,Andrew Woodcock,"One year on from the first coronavirus lockdown, a new poll has found that Britons believe that Boris Johnsons government should have been tougher in imposing restrictions at key moments in the fight… [+16171 chars]",Survey finds just one-third think government did good job on keeping death toll down,2021-03-26T09:40:40Z,"Government repeatedly less strict on coronavirus than public wanted, poll finds",https://www.independent.co.uk/news/uk/politics/coronavirus-restrictions-poll-boris-johnson-b1822584.html
46,Cat Neilan,"David Frost looks on as Britain's Prime Minister Boris Johnson signs the Brexit trade deal in December - Reuters
David Frost is ""playing games around Brexit"", a former mandarin has claimed, after Bo… [+46206 chars]","Boris Johnson to hold Downing Street press conference at 4pm Coronavirus latest news: Facemasks in lessons not compulsory due to pupil anxiety, says minister...",2021-03-07T23:55:40Z,"Politics latest news: David Frost 'playing games around Brexit', claims former mandarin",https://news.yahoo.com/politics-latest-news-senior-tory-235540346.html
47,James Tapsfield,"Nicola Sturgeon faced fury today as the SNP renewed its push for a Scottish independence referendum this year despite the coronavirus chaos and her public war with Alex Salmond. 
The First Minister … [+3759 chars]",Nicola Sturgeon was lambasted by opposition parties after senior allies insisted they are still aiming to hold another vote within months.,2021-03-05T15:02:08Z,Nicola Sturgeon faces fury over push for Scottish independence referendum THIS YEAR,https://www.dailymail.co.uk/news/article-9330491/Nicola-Sturgeon-faces-fury-push-Scottish-independence-referendum-YEAR.html
48,David Walsh,"The Saltire and the Estelada flags are almost always found together at marches in support of independence, be they down the Royal Mile, Edinburgh's medieval thoroughfare, or along Barcelona's tree-li… [+15473 chars]",2021 is set to be a pivotal year in the independence movements in Scotland and Catalonia. But are there lessons each movement can learn from the other to avoid the pitfalls that threaten to derail their cause?,2021-03-09T18:00:53Z,How Scots and Catalans are looking to each other to ease their independence woes,https://www.euronews.com/2021/03/09/trials-troubles-and-tribulations-scots-and-catalans-look-to-each-other-to-ease-independenc
49,David Walsh,"The Saltire and the Estelada flags are almost always found together at marches in support of independence, be they down the Royal Mile, Edinburgh's medieval thoroughfare, or along Barcelona's tree-li… [+15013 chars]",2021 is set to be a pivotal year in the independence movements in Scotland and Catalonia. But are there lessons each movement can learn from the other to avoid the pitfalls that threaten to derail their cause?,2021-03-08T11:00:53Z,"Trials, troubles and tribulations: Scots and Catalans look to each other to ease independence woes",https://www.euronews.com/2021/03/08/trials-troubles-and-tribulations-scots-and-catalans-look-to-each-other-to-ease-independenc
50,Conor Matchett,"The SNP are no longer set for a majority at Holyrood as the most recent survey in a series of polls for The Scotsman predicts a hung Parliament following the May election for the first time.
The res… [+5731 chars]",The SNP are no longer set for a majority at Holyrood as the most recent survey in a series of polls for The Scotsman predicts a hung Parliament following the May election for the first time.,2021-03-11T07:05:10Z,"SNP no longer set for Holyrood majority, new poll shows",https://www.scotsman.com/news/politics/snp-no-longer-set-for-holyrood-majority-new-poll-shows-3161708
51,"Mure Dickie, Jasmine Cameron-Chileshe","Former Scottish first minister Alex Salmonds new Alba Party threatens to undermine support for pro-union parties in crucial elections on May 6th, Scottish Conservative leader Douglas Ross warned on S… [+3853 chars]",Rift in independence movement deepens as two Scottish National Party MPs defect to new Alba Party,2021-03-28T16:43:37Z,Tories warn of Salmond threat to pro-union parties in Scottish election,https://www.irishtimes.com/news/world/uk/tories-warn-of-salmond-threat-to-pro-union-parties-in-scottish-election-1.4522370
52,,"March 22, 2021
LONDON (Reuters) – An independent report expected to rule on whether Scotland’s First Minister Nicola Sturgeon broke a ministerial code of conduct will be published later on Monday, t… [+1889 chars]","March 22, 2021 LONDON (Reuters) – An independent report expected to rule on whether Scotland’s First Minister Nicola Sturgeon broke a ministerial code of conduct...",2021-03-22T17:24:55Z,Scotland's future hangs in balance as report into leader's conduct awaited,https://www.oann.com/scotlands-future-hangs-in-balance-as-report-into-leaders-conduct-awaited/
